,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Sales Executive,-1,"Akarsh Exports is a small-sized family run business. I am the third generation and our company specializes in selling loose polished diamonds worldwide.
We are hiring a talented Sales Executive professional to join our team. If you're excited to be part of the team please reach out to me. Our company is a great place to grow your career in sales and marketing.
Responsibilities
Research and recommend prospects for new business opportunities
Calling new leads as well as following up with existing clients
Build and maintain relationships with clients and prospects
Collect and analyze information and prepare data reports on Zoho CRM
Qualifications
Competency in English (Most of our clients are international, hence fluency in English becomes extremely important)
Experience in Sales
Knowledge of MS Office software and CRM software
Self-motivated and goal-oriented, desire to deliver results
Fast learner and a quick thinker
Passionate about sales
Due to the current situation, we offer candidates to work from home until things settle down a little bit. If interested reach out to me on rushang@akarshexports.com",-1,Akarsh Exports,Bandra Kurla Complex,-1,-1,-1,-1,-1,-1,-1,-1
1,Wanted Freshers for International Call Center Night Shift,-1,"Wanted Freshers for Night Shift International Call Center JOBS

Wingspan Global Solutions looking for freshers with Degree/Diploma in any field with good English Communicational Skills, ready to join immediately, NIGHT SHIFT Only, submit your resume.
Visit www.wgsindia.com for address and Location Map details, Kindly send your resume to wingspan.gs@gmail.com .
Our Office Address
Wingspan Global Solutions
2nd Floor, Union Bank Building
Above UNION BANK OF INDIA
Near SR Nagar Police Station
Sanjeev Reddy Nagar,
Ameerpet, Hyderabad-500038

NOTE: Forward this email to your friends and colleagues who may be interested in this position WORK FROM OFFICE only.
Manager - HR
Wingspan Global Solutions
Hyderabad-500038
Toll Free Number : 1800 889 6190
Visit our website : www.wgsindia.com
Email ID : jobs@wgsindia.com",-1,Wingspan Global Solutions,Hyderabad,-1,-1,-1,-1,-1,-1,-1,-1
2,Account Executive,-1,"We are looking for a dynamic, high-performing Accounts Executive with experience and able to communicate well over the phone, by email, and via web-based presentations.

Responsibilities
Maintain and Create detailed business plans to facilitate the attainment of goals and quotas
Manage the entire billing cycle
Provide professional support to enhance the customers’ dedication
Remain in frequent contact with the clients in your responsibility to understand their needs
Respond to complaints and resolve issues aiming to customer contentment and the preservation of the company’s reputation
Provide necessary reports to enhance growth
Submit GST data in proper format for necessary fileing
Qualifications
Proven experience as an Account Executive
Outstanding knowledge of MS Office
Excellent communication/presentation skills and ability to build relationships
Organizational and time-management skills
A business acumen
Enthusiastic and passionate
Bcom and PG courses accomplished candidates are preferred",-1,SANSKRITI,Cuttack,"Cuttack, India",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
3,Accounts Payable Officer,-1,"Return to search results

Accounts Payable Officer

Location
Mumbai

Job Description
About L.E.K:

L.E.K. Consulting is a global strategy consulting firm with offices across Europe, the Americas and Asia-Pacific. We advise clients on their key strategic issues, leveraging our deep industry expertise and analytical rigor to help them make informed decisions and solve their toughest and most critical business problems.

L.E.K. provides a comprehensive range of capabilities around the globe, including Strategy, Mergers & Acquisitions, and Performance Improvement. We have deep expertise and a proven track record in a broad range of industries.

Founded in London in 1983, we now employ more than 1,400 professionals worldwide across 21 offices.

Our India and Singapore office have approximately above 100 staffs and 9 Directors.

Position Summary:

To ensure the timely production of accurate monthly and yearly reporting to key stakeholders including local partners, global head office and other regulatory authorities.

Perform accounting tasks related to efficient cash management and the maintenance and processing of accounts payable transactions.

The success of the position is integral to the Finance team in achieving its objectives. The position will also require various ad hoc administrative duties to be performed across the business, at the request of the Head of Finance necessary to maintain the daily business function.

The role will report to:

Direct report to Senior Financial Accountant – SEA (based in Mumbai) and indirectly to Head of Finance (based in Singapore)

Key accountabilities:

Banking
Preparation of cash flow forecast for SEA
Daily cash management – Receipts and Payments
Reconciliation of bank statements and credit cards including operational liaison with bank provider


Accounts Payable
Maintain Accounts Payable with reconciliation and maintenance of the sub-ledgers including processing all local and overseas creditor payments and general ledger entries as required.
Monitor and control the monthly expense process including following up with employees, accurately filing supporting documentation and classifying expenses.
Accuracy and timeliness of accounts payable reporting, reconciliations and information.
Efficiency and effectiveness of the accounts payable system in supporting L.E.K.’s objectives and continuous improvement culture.
Responsiveness to routine internal and external customer queries and requests in a timely manner.
Charges expenses to accounts and cost centers by analyzing invoice/expense reports; recording entries.
Maintains accounting ledgers by verifying and posting account transactions.
Verifies vendor accounts by reconciling monthly statements and related transactions.
Disburses petty cash by recording entry; verifying documentation.
Balance account payable to the General Ledger monthly
Ensure that all honorarium invoices are authorized by case team leader prior to being processed through the system
Ensure the correct General Ledger codes are used and recorded on the invoices
Reconcile invoices to supplier’s statement.
Handle all accounts payable queries
Review, investigate and develop more efficient methods, procedures and processes to fulfill and meet the accounts payable obligations and needs
Liaise with external suppliers and internal claimants to achieve compliance with systems, procedures and processes


The ideal candidate (describe background what you are looking for)
Minimum 3-5 years of experience in accounting or finance related disciplines
Professional services background is preferred
Strong knowledge of Accounting principles, practices and procedures
Proficient in Excel and prior experience with an ERP system is preferred
Experience with online expense management systems
High attention to detail and responsiveness to customer queries
Qualifications

Undergraduate degree in Finance or Commerce related discipline",3.4,"L.E.K. Consulting
3.4",Mumbai,"Boston, MA",1001 to 5000 employees,1983,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
4,Manager - Platform,-1,"OUR STORY:

JioSaavn is South Asias leading music streaming service. We are over 200 entrepreneurs, across New York, California, Mumbai, Gurgaon, and Bangalore, who help music lovers access, discover, and listen to their favorite songs across languages and genres. In early 2018, a merger between JioMusic and Saavn was announced; creating a combined entity valued at over $1 billion.

We blend digital technology, data analysis (which we have affectionately coined Music Science), and a strong, fearless business acumen to reach all corners of the globe. Through partnerships with Apple, Google, Amazon, Facebook, Twitter and Shazam - to name a few - JioSaavn reaches more music fans across the world. Our award-winning mobile products, partnerships, innovations and thought leadership have been featured in some of the worlds leading publications, from The New York Times, to The Wall Street Journal, The Economic Times to Forbes, and many more. We are well-funded by some of the worlds most successful institutional investors and global media companies as well as a number of strategic individuals. Beyond investing, they are advisors and supporters of our vision, our passion, and our collective ability to deliver a revolutionary music experience as the leader in India.

OUR CULTURE:

At JioSaavn, we ignite passion and performance to work towards a collective goal: creating the perfect mobile entertainment ecosystem that delivers the best possible music experience to millions of listeners around the world. Our default mode is that of perpetual innovation. Together, we form a concerted rhythm that goes beyond borders. We don't just go with the flow, we create it.

JioSaavn offers a dynamic and unconventional work environment, full of fun wholesome experiences from in-office performances by some of the worlds most beloved musicians to opportunities for international travel. We believe creativity and technology blend together like sweet melodies. When you choose JioSaavn, you join a diverse world of high-calibre techies, artists, and inventors hailing from companies like Yahoo!, Twitter, LinkedIn, Google, Qualcomm, HBO, Microsoft, Flipkart, Amazon, Paytm, Quikr, MSN, and NDTV. We are one of the few digital companies to provide employment opportunities that meet the Silicon Valley benchmark right here in Mumbai! Figures, since weve got Silicon Valley covered, too.

Our value-based, people-first work culture is about empowering every individual in our global team to be catalysts for change in this dynamic digital world. Every day is an opportunity to bring your vision to life, and to expand, learn and grow. No idea is left unconsidered. No voice is left unheard.

With listeners speaking multiple languages in almost every country in the world, we like to think we have the most diverse user base on the planet. This has only been made possible because of the value we place on radical inclusivity in our offices across the globe. We believe different is wonderful, and what sets us apart is also what brings us closer. JioSaavn prides itself on being an equal opportunity employer. We have committed ourselves to creating a safe environment with fair and equal access and opportunities, sans discrimination. We encourage everyone to be open to experiences and perspectives beyond their normal; divergent thinkers create differentiated products, and even better music.

If our vibe matches with yours, we'd love to hear from you.

ROLE:

The Platform team connects consumers and producers by facilitating their interactions through Saavns Platform. It reduces operational costs and frictions while enabling externalized innovation by third-party producers. A strong platform facilitates the organization to cultivate an ecosystem of creators, developers, partners, users, and other collaborators who contribute to, and drive, innovation to add value to the organizations bottom line. The team controls how the organization interacts operationally within intra and inter entities and teams (Saavn & non-Saavn). They define and develop the organizational roadmap in collaboration with key stakeholders.

This role directly reports to the Director-Platform.

KEY RESPONSIBILITIES:
Develop strategic relationships with internal and external partners and business teams to collaborate on product development and business processes.
Represent Saavn (B2B, B2C) with partners and platform holders in the tech ecosystem including Jio, Google, Facebook, Microsoft and Amazon.
Responsible for the growth and expansion of JioSaavn in India and globally
Manage a strong pipeline of new clients and grow companys business in geographies by developing indirect channels for long term revenues.
Identify new partners and negotiate first-of-their kind business and technical terms with them across a variety of initiatives.
Assist in defining how participants such as creators, advertisers, and retailers engage with the platform while generating value for themselves as well as adding value to the Saavn user experience.
Identify new partners and negotiate first-of-their kind business and technical terms with them across a variety of initiatives.
Expertise in Strategic Decision Making, Crisis Management, Business Analysis, Driving Operational Efficiency & Conceptual Selling.
Responsible to identify and establish multiple partner channels which can generate sustainable revenues to the company.
Deep understanding of the market landscape, dynamics and opportunities within the Indian ecosystem.
Support strategy and execution of partnerships to fuel global platform growth, including identifying new opportunities and partnerships for optimization.
Track, analyze and communicate key metrics and business trends as they relate to partner relationships to senior management.
Act as an in-market resource for company-wide partnerships and platform products, focused on activation, engagement and retention.
Coordinate and scale cross-functional efforts across the globe with teams such as; Product, Engineering, Data, Legal, Content, Operations, Finance, and Marketing & PR/Communications.
Build, manage, and grow a high-performing team, and support the team in executing the companys platform vision.
REQUIREMENTS:
3-5 years of work experience in consumer tech/e-commerce sales
Strong people/ Stakeholder management. This role requires deep linkages throughout the organization including marketing, tech and content
MBA from a top tier business school
Strong presentation skills, especially related to building compelling PowerPoint presentations
Exceptional problem-solving skills: demonstrated ability to structure complex problems, develop solutions
Passion and deep understanding of the technology, media and entertainment spaces.
Proven track record of initiating, launching, and driving new business opportunities.
Experience thinking strategically and developing effective strategies, to execute in a systematic and efficient manner.
Ability to work collaboratively and build effective relationships across internal teams to solve and operationalize complex business endeavours.
Experience working in global cross-functional teams
Genuine, ambitious, open-minded, great conversationalist, positive attitude, and fun to be around.
BENEFITS AND PERKS:

At JioSaavn, we blur work and play, and you get all the perks of a global company. You will get to work with a dynamic group of entrepreneurs, who are delivering results and working zealously across time zones to make a difference in the way the world experiences music. We love what we do, and we think you will too.
Group Mediclaim
Flexible vacation policies
Free healthy (and unhealthy) lunches & snacks
Powered by JazzHR",4.4,"Saavn
4.4",Mumbai,"New York, NY",201 to 500 employees,2007,Company - Private,Music Production & Distribution,Media,Unknown / Non-Applicable,-1
5,Staff Accountant,-1,"Globalization Partners simplifies global business by enabling companies to hire great talent anywhere in the world, without the complexity of setting up foreign branch offices or subsidiaries. You find the talent, and we put YOUR candidate on OUR fully compliant, in-country payroll. This enables you to expand into almost any country around the globe quickly and easily.

Our platform enables you to leapfrog over the legal, HR and tax complexities without having to figure out ""how"" to do business in a foreign country, while getting all the benefits of a global team.

About the position: We are looking for a Staff Accountant to join our Finance group! This is a dynamic role and offers exposure to many areas of accounting and finance spanning areas of accounting, payroll and tax compliance management.

Job Duties will include but not limited to:
Setup monthly payroll for review and release by HQ
Review expense reports provided for compliance with local tax requirements
Prepare monthly and year-end accounting and reporting activities
Prepare statutory financial reports and filings required by local authorities
Assist with the optimization of consolidation and reporting procedures, including reducing the time to close the company's books and report results
Ensure timely completion of financial data for preparation of local tax return
Responsible for the upload and maintenance of the monthly financial information into the reporting system
Ensure local financial statements are compliant with applicable accounting principles, local regulatory requirements, and internal policies and procedure
Participate in monthly and year-end close process, including financial statement reconciliations, entries and balance sheet analysis
Operating expense reporting and Analysis
Pro-actively identify problems to ensure accurate reporting of financial results and compliance with company policy
Assist other members of the accounting and finance team at HQ when needed
How You'll Help Us:
Work in a fast-paced environment providing reliable and efficient financial reporting
Serve as a point of escalation and advanced support
Help us design accounting processes and procedures to improve the efficiency and effectiveness of financial reporting and assist in initiatives to implement improvement
Assist with the needs/requests from other Departments
Success Factors:
Bachelor's degree in accounting, finance, or related area; CA preferred
3-5 years' experience in progressive accounting-based roles, preferably public accounting
Strong written and verbal communication skills including experience in translating financial concepts to individuals at all levels, including finance and non-finance managers
Advanced Excel skills (including pivot tables, V and H- lookups, and complex formula writing)
Strong organizational skills with the ability to work in a fast-paced environment, prioritize and handle multiple tasks
High-energy attitude; someone who enjoys working with a team
Strong attention to detail with ability to quickly learn new systems, processes and procedures and adapt local practices to global standard",4.6,"Globalization Partners
4.6",Indore,"Boston, MA",201 to 500 employees,2012,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Safeguard Global, Velocity Global, Shield GEO"
6,Transaction Risk Investigator,-1,"About the team:
Buyer Risk Investigations works to make Amazon the safest and most trusted place on Earth by protecting the innocent and deterring the ill-intentioned. Through the partnership of people and technology we will focus on our customers, think local - act global and scale through innovation. Buyer investigators specialists will always deliver on our service standards for our customers and with zero defects.

Job Description:
Investigation specialists are expert communicators and problem solvers obsessed with Customer success. They have a passion for proficiency, and efficiently navigate formal and informal channels to advocate on the Customers behalf. They take full ownership of their functional issues and offer high quality solutions and they are the champion for proactive improvements. The Investigation Specialists are technically competent, self-motivated individuals with the objective to deliver sustainable results that improve the customer experience. Ideal applicants will have experience in CTPS investigations. All candidates must be capable of succeeding in a fast-paced team environment with minimal supervision. The position relies on excellent judgment to plan and accomplish goals and will work under very limited supervision of the Manager. Excellent individual problem-solving and analytical skills are used to authenticate customers and complex transactions and accounts.

Roles and Responsibilities:
This includes, but is not limited to:
· Investigate suspicious activities and behaviors that could pose a risk to Amazon or our customers in global markets
· Ensure high quality decision by applying CTPS standard operational procedures
Identify known fraud patterns, discover new modus operandi trends and take actions to minimize risks
· Use a wide range of internet and in-house tools to research transactions and gather data to make accurate decisions
· Take appropriate actions to identify and help minimize Amazons financial, legal and reputational risk
· Maintain high levels of confidentiality and data security standards
Achieve weekly productivity and quality standards for investigations
· Communicate via email and telephone with external and internal customers and financial institutions to make informed decisions about risk


Basic Qualifications

Basic Qualifications
· Education Qualification: Graduation in any stream.
· Demonstrated ability to work independently with little to no guidance, conducting complex investigation analysis to reach data driven decisions following stablished processes and procedures
· Passion for learning, improving and keeping up with risk trends in the e-commerce market and commitment to Amazon's emergence as the world's most customer-centric company
· Good Time management skills and ability to work under pressure in a changing fast paced environment.
· Excellent interpersonal skills with the ability to communicate complex issues clearly to both internal and external customers
· Ability to manage sensitive information and maintain a high degree of confidentiality.
· Schedule flexibility to work at least one day of the weekend.
· Proficiency in MS Office package (Word, Excel, PowerPoint and Outlook) and Internet browsing.
· Excellent communication skills both written and spoken in English language
· Ability to handle and interpret large sets of data
· Demonstrated ability to work in a team in a very dynamic environment


Preferred Qualifications

Preferred Qualifications
· Experience or knowledge of fraud, risk management, data research, collections or banking is an added advantage.",4.3,"Amazon
4.3",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
7,Sales Manager / (Senior) Customer Success Manager,-1,"Who We Are


One third of the world's food goes to waste. Which means all the water, energy, and greenhouse gases used to produce that food is wasted with it. This is a problem with a $990 billion price tag for the food industry and an even bigger one for the planet. But we believe the solution is simple.

What if we could eliminate waste by better balancing the supply and demand of food?

Zume uses predictive analytics and real-time food consumption data to predict customer demand, match it with production, and enable food companies to make smarter decisions across the food supply chain.

By connecting all the pieces of the food supply chain, we enable our partners to make better decisions for their business, their customers, and the planet we all call home.

We're tackling some of the world's biggest problems, and we need your help to solve them. If you want to take on something different in your career, we'd love to meet you.

We are a US-based organization in the B2B space, an organization into innovative & sustainable packaging material designing, material science, and equipment manufacturing technology space.

This position is based out of Bengaluru and Delhi and responsible for driving sales of packaging products. In-depth knowledge, understanding, and capabilities to packaging products to food service companies as well as working with distributors is essential.

The Role

What You'll Do


Sales & Revenue:
Manage inbound leads, prospect and contact potential customers; evaluate customers' needs and build lasting relationships
Create and manage distributors network appointed in your region
Act independently to present and sell packaging solutions and services to new and existing customers
Plan, execute and monitor the sales operations to drive accelerated growth
Responsible for driving sales and achieving the company revenue goals.
Client Relationship & Management:
Build pipeline of potential clients, create sales pitches for brands and ensure onboarding.
Liaise with distributors and client management teams to develop strategic relationships
Understand product design, identify customers requirements and provide feasible solutions creating an exclusive customer service experience.
Operations:
Identify emerging markets and market shifts while being fully aware of new products and competition status
Work closely with the Central Sourcing & Fulfillment teams to serve client requirements as per agreed cost, quality and delivery SLAs
Ensuring full compliance on accounts receivables, taxation, and payables
Who You Are
Management Graduate from Tier 1/2 B-Schools
5-7+ years of experience in B2B sales for packaging products in the food industry
Experience managing and appointing distributors
Strong client service skills and a passion to deliver flawless client experience
Go getter, high ownership and action-orientation
Excellent communication skills, both written and verbal, and strong influencing skills
Ability to work in a constantly changing environment and be self-directed
Experience with salesforce (not required)
Ready to travel",2.1,"Zume Inc.
2.1",New Delhi,"Mountain View, CA",201 to 500 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
8,Printer Device Driver Developer,-1,"Description

Responsibilities:
• Full responsibility for the development of desktop products and backend processes where applicable, including maintenance where necessary.
• Develop international drivers
• Taking user stories and converting them into development tasks that can be delivered in an Agile process.
• Backlog management and sprint prioritization using JIRA.
• Delivering working software to a deadline.
• Documentation.

Experience:
Experience of C++11 is a must
Knowledge of the following would be advantageous:
o QT
o MacOS X
o Boost
o TCP/IP Networking principles
o IPWorks
o PDF Technology
Preferably relevant experience in the printing industry or related areas
Analytical, with good judgment, business sense and problem-solving skills
Able to work independently and as part of a team
Preferably experience on Agile Project Management
Excellent communications skills
Good level of spoken and written English required
Good social skills and a structured approach to work
Chennai

Full time

IT",4.4,"Merit Group
4.4",Chennai,"London, United Kingdom",1001 to 5000 employees,2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
9,Tech Mgmt / Strategy (Technology Management),-1,"Company profile
Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries.

As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.
Morgan Stanley is an equal opportunities employer. We work to provide a supportive and inclusive environment where all individuals can maximize their full potential. Our skilled and creative workforce is comprised of individuals drawn from a broad cross section of the global communities in which we operate and who reflect a variety of backgrounds, talents, perspectives and experiences. Our strong commitment to a culture of inclusion is evident through our constant focus on recruiting, developing and advancing individuals based on their skills and talents.
Overview of Wealth Management
Wealth Management Technology (WMT) is responsible for the design, development, delivery, and support of the technical platform behind the products and services used by the wealth management business at Morgan Stanley. Its core client base is high and ultra-high net worth families and individual investors and small- to medium-size businesses and institutions. MS Wealth Management is the largest wealth manager in the US with more than 16,000 financial advisors and over 2.5 trillion dollars of AUM.
Team Profile
Global Banking Technology (GBT) provides technology solutions enabling the growth of Morgan Stanley’s banking and lending business within a regulatory-compliant and risk-managed framework. The group primarily operates around the following areas:

Core Banking including cash management, bill payments, money movements, cheque deposits, debit/credit card etc.)
Deposits is responsible for new offerings to our clients to generate additional deposits for the firm
Lending comprising of purpose and non-purpose lending including bank sweep program to sweep excess cash into high yielding savings products
Digital Mortgage to offer home loan products to our clients in a digital way
Role Profile
Experienced and innovative technical lead required, with strong leadership and development skills, to be part of the GBT Lending group. The individual will be responsible for leading the lending teams in India as well as have direct functional responsibility for origination and servicing of securities based loans. This group has primarily the following areas of responsibility:

Building the origination and servicing systems for a variety of loan products offered
Building the next generation digital lending solutions for securities based loans
Building tools for Sales and opportunity tracking for all banking and lending products
Building tools for horizontal underwriting function across lending products
Integrating with vendor solutions for loan accounting.
Feeding the firm’s books and records and all regulatory requirements
The key responsibilities include:
Oversee the development, deployment, monitoring, maintenance, documentation and support of high quality, reliable applications to meet the business needs
Collaborate with the PBG business to identify new business requirements and lead the technology team to deliver those requirement.
Partner with the other application development teams to front to back solutions that benefit the business.
Having an oversight responsibility for the related GBT teams in India
Provide technical leadership to the GBT India team
Build deep technical know-how within India on GBT Lending platforms Act as the connectivity between India & NYC
Deliver cohesive strategic platform (in tandem with NYC)
Provide technical leadership and drive deliver
Work with Business directly too (i.e., expand into the Biz stakeholder space) to achieve department goals.

Qualifications required are:
15 years of technical leadership experience in technology, preferably in Financial Services.
Extensive experience with cloud migration of applications designed for on-prem deployment
Highly self-motivated, self-directed, and attentive to detail with ability to effectively prioritize and execute tasks in a high-pressure environments
Excellent analytical, communication, collaboration and negotiations skills.",3.8,"Morgan Stanley
3.8",Bengaluru,"New York, NY",10000+ employees,1935,Company - Public,Investment Banking & Asset Management,Finance,₹500+ billion (INR),-1
